timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,label
1.86743927,-1.68,0.5,-9.11,0.03,0.02,0.03,rest_tremor
1.882479191,-1.57,0.56,-9.26,0,0.04,0.01,rest_tremor
1.897939205,-1.43,0.51,-9.6,-0.01,0.03,0,rest_tremor
1.913228035,-1.23,0.38,-10.17,-0.02,0.03,0.01,rest_tremor
1.92853713,-1.08,0.23,-10.58,0.02,-0.02,0.02,rest_tremor
1.943827391,-1.22,0.28,-10.3,0.05,-0.05,0.04,rest_tremor
1.959026337,-1.34,0.47,-9.9,0.06,-0.06,0.05,rest_tremor
1.974374294,-1.48,0.59,-9.65,0.07,-0.05,0.05,rest_tremor
1.989657164,-1.54,0.64,-9.39,0.05,-0.03,0.04,rest_tremor
2.004897118,-1.56,0.66,-9.39,0.03,0,0.02,rest_tremor
2.020165205,-1.43,0.71,-9.64,0.04,0,0,rest_tremor
2.035544157,-1.35,0.5,-9.87,0.04,-0.01,-0.01,rest_tremor
2.050805092,-1.2,0.21,-10.41,0.05,-0.04,0.01,rest_tremor
2.066042185,-1.27,0.04,-10.25,0.05,-0.06,0.03,rest_tremor
2.081305265,-1.42,0.29,-10.06,0.03,-0.05,0.06,rest_tremor
2.096587181,-1.44,0.46,-9.86,0.01,-0.04,0.07,rest_tremor
2.111930132,-1.56,0.65,-9.48,-0.01,-0.01,0.05,rest_tremor
2.127041101,-1.54,0.77,-9.22,-0.01,0.03,0.02,rest_tremor
2.142469168,-1.49,0.8,-9.37,0,0.02,-0.01,rest_tremor
2.15785718,-1.38,0.63,-9.74,-0.01,0.02,-0.02,rest_tremor
2.173103333,-1.17,0.39,-10.41,0.02,-0.01,-0.02,rest_tremor
2.188367128,-1.23,0.11,-10.4,0.07,-0.06,0.01,rest_tremor
2.203619242,-1.38,0.14,-10.09,0.07,-0.07,0.04,rest_tremor
2.218933105,-1.47,0.34,-9.86,0.06,-0.06,0.06,rest_tremor
2.234222174,-1.49,0.54,-9.63,0.03,-0.03,0.06,rest_tremor
2.249470234,-1.55,0.57,-9.27,-0.01,0.01,0.05,rest_tremor
2.264576197,-1.47,0.81,-9.35,0,0.04,0.02,rest_tremor
2.279829025,-1.44,0.76,-9.53,0.02,0.03,-0.01,rest_tremor
2.295263052,-1.32,0.44,-9.97,0.01,0.01,-0.01,rest_tremor
2.310643435,-1.14,0.24,-10.48,0.01,-0.03,0,rest_tremor
2.325897217,-1.28,0.17,-10.3,0.02,-0.06,0.03,rest_tremor
2.341177225,-1.39,0.3,-10.07,0.04,-0.06,0.06,rest_tremor
2.356455326,-1.48,0.56,-9.85,0.03,-0.05,0.07,rest_tremor
2.371741295,-1.58,0.69,-9.46,0.01,-0.02,0.06,rest_tremor
2.386984348,-1.58,0.85,-9.28,0,0.02,0.03,rest_tremor
2.402138233,-1.5,0.86,-9.26,0.01,0.04,-0.01,rest_tremor
2.417411089,-1.44,0.73,-9.52,0.01,0.04,-0.03,rest_tremor
2.432990313,-1.23,0.43,-10.16,0.01,0.01,-0.03,rest_tremor
2.448218346,-1.11,0.11,-10.59,0.03,-0.04,0,rest_tremor
2.463430166,-1.29,0.09,-10.22,0.04,-0.07,0.05,rest_tremor
2.478774071,-1.41,0.4,-9.98,0.03,-0.07,0.08,rest_tremor
2.493848085,-1.49,0.7,-9.74,0.02,-0.05,0.08,rest_tremor
2.509173155,-1.59,0.83,-9.26,0,-0.01,0.05,rest_tremor
2.524456263,-1.54,1.03,-9.23,0.03,0.03,-0.01,rest_tremor
2.53963542,-1.49,0.86,-9.36,0.06,0.04,-0.05,rest_tremor
2.555006981,-1.41,0.46,-9.85,0.05,0.03,-0.07,rest_tremor
2.570407391,-1.24,0.15,-10.46,0.04,0,-0.04,rest_tremor
2.585710287,-1.24,-0.09,-10.42,0.04,-0.03,0.01,rest_tremor
2.600987196,-1.36,0.04,-10.14,0.02,-0.04,0.06,rest_tremor
2.616172075,-1.44,0.5,-9.78,0.01,-0.04,0.1,rest_tremor
