timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,label
1.866239071,-1.94,-0.33,-9.89,0.03,-0.04,0.02,rest_tremor
1.881577969,-1.99,-0.32,-9.78,0.05,-0.04,0.02,rest_tremor
1.896892309,-2.07,-0.27,-9.34,0.05,-0.01,0.01,rest_tremor
1.912144184,-2.09,-0.23,-9.22,0.07,0.0,0.0,rest_tremor
1.927608252,-2.04,-0.23,-9.29,0.07,-0.01,-0.01,rest_tremor
1.942639112,-1.97,-0.38,-9.48,0.03,-0.02,-0.01,rest_tremor
1.957962036,-1.8,-0.64,-9.99,0.01,-0.04,-0.01,rest_tremor
1.973240137,-1.81,-0.7,-10.14,0.0,-0.04,0.0,rest_tremor
1.988550186,-1.91,-0.55,-9.88,-0.01,-0.02,0.01,rest_tremor
2.003809214,-1.97,-0.4,-9.78,-0.01,-0.02,0.02,rest_tremor
2.019060135,-2.03,-0.23,-9.51,-0.02,0.0,0.01,rest_tremor
2.03436923,-2.07,-0.06,-9.27,-0.01,0.0,0.01,rest_tremor
2.0494802,-2.04,0.07,-9.33,0.04,-0.01,0.0,rest_tremor
2.064913273,-1.99,0.02,-9.38,0.05,-0.03,-0.01,rest_tremor
2.080301046,-1.84,-0.15,-9.9,0.08,-0.06,-0.02,rest_tremor
2.095558167,-1.86,-0.46,-10.08,0.1,-0.07,-0.01,rest_tremor
2.110906124,-1.96,-0.48,-9.9,0.09,-0.07,0.0,rest_tremor
2.125968218,-2.06,-0.41,-9.79,0.1,-0.06,0.01,rest_tremor
2.141272068,-2.12,-0.38,-9.61,0.1,-0.04,0.01,rest_tremor
2.156682014,-2.16,-0.34,-9.35,0.08,-0.01,0.01,rest_tremor
2.171828032,-2.09,-0.3,-9.32,0.1,0.0,0.0,rest_tremor
2.187273026,-1.99,-0.28,-9.48,0.09,0.0,0.0,rest_tremor
2.202535152,-1.91,-0.5,-9.64,0.07,-0.01,-0.01,rest_tremor
2.217894316,-1.82,-0.61,-9.93,0.04,-0.03,0.0,rest_tremor
