timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,label
1.866516113,-1.74,0.63,-9.56,0.01,-0.01,0.03,rest_tremor
1.881726027,-1.76,0.68,-9.51,0.03,0.01,0.02,rest_tremor
1.896899223,-1.73,0.72,-9.59,0.05,0.01,0.01,rest_tremor
1.912349939,-1.7,0.61,-9.67,0.06,0.01,-0.01,rest_tremor
1.92764616,-1.64,0.41,-9.88,0.07,0.0,-0.01,rest_tremor
1.942906141,-1.61,0.29,-10.02,0.06,-0.02,0.01,rest_tremor
1.958172321,-1.62,0.29,-9.96,0.05,-0.04,0.02,rest_tremor
1.9733603,-1.71,0.34,-9.76,0.03,-0.05,0.03,rest_tremor
1.988657951,-1.73,0.51,-9.67,0.02,-0.04,0.03,rest_tremor
2.003772974,-1.79,0.56,-9.53,0.02,-0.03,0.03,rest_tremor
2.019150257,-1.76,0.62,-9.57,0.04,-0.01,0.02,rest_tremor
2.034356117,-1.73,0.68,-9.61,0.06,-0.02,0.02,rest_tremor
2.049607992,-1.71,0.57,-9.68,0.07,-0.02,0.02,rest_tremor
2.064923286,-1.68,0.36,-9.79,0.06,-0.02,0.02,rest_tremor
2.080278158,-1.6,0.3,-9.99,0.05,-0.04,0.03,rest_tremor
2.095541,-1.64,0.26,-9.92,0.03,-0.06,0.04,rest_tremor
2.1107862,-1.72,0.34,-9.76,0.03,-0.06,0.05,rest_tremor
2.126058102,-1.77,0.5,-9.62,0.03,-0.06,0.05,rest_tremor
2.14132309,-1.82,0.6,-9.58,0.03,-0.05,0.04,rest_tremor
2.156625986,-1.83,0.62,-9.56,0.03,-0.03,0.03,rest_tremor
2.171904087,-1.82,0.61,-9.59,0.04,-0.01,0.02,rest_tremor
2.187047243,-1.77,0.55,-9.69,0.05,-0.01,0.01,rest_tremor
2.202331305,-1.7,0.44,-9.8,0.05,-0.01,0.01,rest_tremor
2.217649221,-1.64,0.29,-9.98,0.04,-0.03,0.01,rest_tremor
2.23288703,-1.69,0.27,-9.87,0.02,-0.04,0.02,rest_tremor
2.248154163,-1.75,0.36,-9.75,0.01,-0.04,0.03,rest_tremor
2.263431072,-1.8,0.52,-9.64,0.01,-0.03,0.03,rest_tremor
2.278707981,-1.82,0.59,-9.55,0.01,-0.02,0.03,rest_tremor
2.293988228,-1.84,0.61,-9.5,0.02,0.0,0.02,rest_tremor
2.309115171,-1.8,0.63,-9.62,0.04,0.0,0.02,rest_tremor
