timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,label
3.045972109,-1.02,-1.86,-9.9,0.08,-0.22,0.14,intention_tremor
3.061378956,-1,-1.73,-9.97,0.08,-0.22,0.14,intention_tremor
3.076737881,-0.84,-1.11,-10.28,0.08,-0.22,0.14,intention_tremor
3.092159033,-0.67,-0.28,-10.2,0.08,-0.22,0.14,intention_tremor
3.107426882,-0.47,-0.6,-10.21,0.08,-0.22,0.14,intention_tremor
3.122731209,-0.39,-1.07,-9.8,0.08,-0.22,0.14,intention_tremor
3.137963057,-0.52,-1.37,-9.44,0.08,-0.22,0.14,intention_tremor
3.153250933,-0.55,-1.18,-9.86,0.08,-0.22,0.14,intention_tremor
3.168725014,-0.45,-1.17,-10.11,0.08,-0.22,0.14,intention_tremor
3.184030056,-0.38,-0.95,-10.14,0.08,-0.22,0.14,intention_tremor
3.19948411,-0.25,-0.94,-10.1,0.08,-0.23,0.14,intention_tremor
3.214766979,-0.04,-0.85,-9.8,0.08,-0.24,0.14,intention_tremor
3.230021,0.16,-0.74,-9.48,0.08,-0.24,0.14,intention_tremor
3.245349884,0.37,-0.47,-9.22,0.08,-0.21,0.14,intention_tremor
3.260556936,0.32,-0.34,-9.51,0.08,-0.21,0.14,intention_tremor
3.275859118,0.06,-0.75,-10.1,0.08,-0.21,0.14,intention_tremor
3.291208029,-0.14,-1.24,-10.32,0.08,-0.21,0.14,intention_tremor
3.306714058,-0.12,-1.36,-10.22,0.08,-0.21,0.14,intention_tremor
3.32197094,-0.12,-1.12,-9.99,0.08,-0.21,0.14,intention_tremor
3.33726716,-0.03,-0.62,-9.87,0.08,-0.21,0.14,intention_tremor
3.352735996,-0.11,-0.72,-10.29,0.08,-0.21,0.14,intention_tremor
3.368027925,-0.14,-0.67,-10.21,0.08,-0.21,0.14,intention_tremor
3.383319855,-0.11,-0.89,-10.4,0.08,-0.21,0.14,intention_tremor
3.398583889,-0.11,-0.47,-9.94,0.08,-0.21,0.14,intention_tremor
3.413817883,-0.08,-0.48,-9.69,0.08,-0.21,0.14,intention_tremor
3.429146051,-0.03,-0.74,-9.48,0.08,-0.21,0.14,intention_tremor
3.444437742,-0.11,-0.68,-9.94,0.08,-0.21,0.14,intention_tremor
3.459801912,-0.14,0,-10.41,0.08,-0.21,0.14,intention_tremor
3.474982023,-0.17,0.42,-10.59,0.08,-0.21,0.14,intention_tremor
3.49045682,-0.34,-0.06,-10.6,0.08,-0.21,0.14,intention_tremor
3.505819082,-0.57,-1.28,-10.5,0.08,-0.21,0.14,intention_tremor
3.521209002,-0.89,-2.15,-10.07,0.08,-0.21,0.14,intention_tremor
3.536446095,-0.95,-1.94,-9.45,0.08,-0.21,0.14,intention_tremor
3.551739931,-0.78,-1.21,-9.11,0.08,-0.21,0.14,intention_tremor
3.567070961,-0.57,-0.59,-9.54,0.08,-0.21,0.14,intention_tremor
3.582234859,-0.67,-1.19,-9.98,0.08,-0.21,0.14,intention_tremor
3.597667933,-0.74,-1.87,-10.08,0.08,-0.21,0.14,intention_tremor
3.612953901,-0.79,-2.38,-9.94,0.08,-0.21,0.14,intention_tremor
3.628235817,-0.63,-1.65,-9.74,0.08,-0.21,0.14,intention_tremor
3.643502951,-0.49,-1.25,-9.55,0.08,-0.21,0.14,intention_tremor
3.658825159,-0.62,-1.19,-9.35,0.08,-0.21,0.14,intention_tremor
3.674270153,-0.57,-1.26,-9.67,0.08,-0.21,0.14,intention_tremor
3.689532042,-0.65,-1.89,-9.9,0.08,-0.21,0.14,intention_tremor
3.704875946,-0.56,-1.95,-9.67,0.08,-0.21,0.14,intention_tremor
3.720160007,-0.41,-1.5,-9.57,0.08,-0.21,0.14,intention_tremor
3.735409021,-0.14,-0.78,-9.75,0.08,-0.21,0.14,intention_tremor
3.750846148,0.06,-0.42,-10.08,0.08,-0.21,0.14,intention_tremor
3.766160011,0,-0.42,-10.37,0.08,-0.21,0.14,intention_tremor
3.781484842,-0.29,-0.6,-10.53,0.08,-0.21,0.14,intention_tremor
3.796751976,-0.48,-0.68,-10.18,0.08,-0.21,0.14,intention_tremor
3.812036991,-0.85,-1.07,-9.78,0.08,-0.21,0.14,intention_tremor
3.827368021,-1.19,-1.35,-9.38,0.08,-0.21,0.14,intention_tremor
3.842754841,-1.38,-1.46,-9.6,0.08,-0.21,0.14,intention_tremor
3.858025074,-1.39,-1.11,-9.94,0.08,-0.21,0.14,intention_tremor
3.873344898,-1.42,-0.48,-9.77,0.08,-0.21,0.14,intention_tremor
3.888629198,-1.29,0.04,-9.88,0.08,-0.21,0.14,intention_tremor
3.904111862,-1.24,-0.54,-10.32,0.08,-0.21,0.14,intention_tremor
3.91937995,-1.36,-1.43,-10.41,0.08,-0.21,0.14,intention_tremor
3.934824944,-1.61,-1.47,-10.03,0.08,-0.21,0.14,intention_tremor
3.950073957,-1.82,-0.96,-9.73,0.08,-0.21,0.14,intention_tremor
3.965352058,-1.67,-0.73,-9.57,0.08,-0.21,0.14,intention_tremor
3.98065114,-1.44,-0.63,-9.85,0.08,-0.21,0.14,intention_tremor
3.996085167,-1.38,-0.76,-10.2,0.08,-0.21,0.14,intention_tremor
4.011385918,-1.39,-0.84,-10.38,0.08,-0.21,0.14,intention_tremor
4.026986122,-1.53,-1.04,-10.24,0.08,-0.21,0.14,intention_tremor
4.04222393,-1.58,-0.8,-10.01,0.08,-0.21,0.14,intention_tremor
4.05745101,-1.53,-0.71,-9.81,0.08,-0.21,0.14,intention_tremor
4.07271409,-1.45,-0.69,-9.59,0.08,-0.21,0.14,intention_tremor
4.088021755,-1.3,-1.07,-9.69,0.08,-0.21,0.14,intention_tremor
4.103339195,-1.25,-1.2,-9.86,0.08,-0.21,0.14,intention_tremor
4.118682861,-1.22,-0.94,-9.86,0.08,-0.21,0.14,intention_tremor
4.133872986,-1.28,-0.78,-9.87,0.08,-0.21,0.14,intention_tremor
4.149072886,-1.34,-0.54,-9.41,0.08,-0.21,0.14,intention_tremor
4.164592981,-1.17,-0.84,-9.76,0.08,-0.21,0.14,intention_tremor
4.179887056,-1.15,-1.38,-10.31,0.08,-0.21,0.14,intention_tremor
4.195152044,-1.23,-1.38,-10.33,0.08,-0.21,0.14,intention_tremor
4.210416079,-1.33,-1.41,-9.96,0.05,-0.17,0.1,intention_tremor
4.22587204,-1.33,-1.36,-9.7,0.03,-0.2,0.21,intention_tremor
4.241159916,-1.19,-1.14,-9.58,0.03,-0.22,0.16,intention_tremor
4.256454945,-0.89,-0.61,-9.65,0.02,-0.22,0.16,intention_tremor
4.271725893,-0.62,-0.23,-9.69,0.03,-0.22,0.15,intention_tremor
4.287024021,-0.58,-0.3,-9.67,0.03,-0.22,0.14,intention_tremor
4.302368164,-0.82,-0.74,-9.37,0.03,-0.22,0.14,intention_tremor
4.317612886,-1.24,-0.9,-9.05,0.03,-0.22,0.14,intention_tremor
4.332911968,-1.5,-1.57,-9.27,0.03,-0.22,0.14,intention_tremor
4.348437071,-1.59,-2.03,-9.69,0.03,-0.22,0.14,intention_tremor
